hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,1,100,100
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,2,101.03,101.11
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,3,101.4 ,101.08
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,4,101.79,101.1
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,5,102.44,101.5
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,6,102.83,101.59
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,7,103.07,102
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,8,103.24,102.23
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,9,102.91,102.11
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,10 ,103.17,102.51
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,11 ,104.02,103.42
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,12 ,103.8 ,103.53
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,1,103.97,103.98
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,2,104.45,104.52
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,3,105.64,105.32
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,4,106.08,105.36
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,5,106.68,105.7
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,6,107.1 ,105.8
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,7,107.22,106.11
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,8,107.65,106.58
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,9,107.69,106.85
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,10 ,108.3 ,107.58
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,11 ,108.58,107.97
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,12 ,108.91,108.64
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,1,108.68,108.72
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,2,108.47,108.53
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,3,109.34,109.07
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,4,110.37,109.6
